FECHA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,latitud,longitud
2015-01-21 09:40:00,Con heridos,Atropello,1,0,1,10.9857389,-74.78266789999999
2015-01-21 10:30:00,Solo daños,Choque,0,0,1,10.9911843,-74.78915529999999
2015-01-21 11:00:00,Solo daños,Choque,0,0,1,11.0038108,-74.827226
2015-01-21 11:10:00,Solo daños,Choque,0,0,1,10.9659156,-74.7752277
2015-01-21 12:30:00,Solo daños,Choque,0,0,1,10.9539547,-74.7739715
2015-01-22 13:15:00,Solo daños,Choque,0,0,1,11.0199732,-74.8215201
2015-01-22 13:20:00,Solo daños,Choque,0,0,1,10.9868854,-74.81999139999999
2015-01-22 16:00:00,Solo daños,Choque,0,0,1,10.9968537,-74.80848329999999
2015-01-22 16:30:00,Solo daños,Choque,0,0,1,10.9902798,-74.8110016
2015-01-22 05:40:00,Con heridos,Atropello,2,0,1,10.9654993,-74.79140679999999
2015-01-22 07:00:00,Solo daños,Choque,0,0,1,11.0042927,-74.812529
2015-01-22 08:00:00,Solo daños,Choque,0,0,1,10.996039,-74.8089005
2015-01-22 20:00:00,Solo daños,Choque,0,0,1,10.996039,-74.8089005
2015-01-22 08:15:00,Solo daños,Choque,0,0,1,10.9683261,-74.8380514
2015-01-22 20:20:00,Solo daños,Choque,0,0,1,11.003135,-74.8184
2015-01-22 08:30:00,Solo daños,Choque,0,0,1,11.0046021,-74.7881779
2015-01-22 20:40:00,Solo daños,Choque,0,0,1,10.9754972,-74.837589
2015-01-22 20:55:00,Solo daños,Choque,0,0,1,11.0027291,-74.8057707
2015-01-22 21:00:00,Solo daños,Choque,0,0,1,10.9577085,-74.8133629
2015-01-22 22:05:00,Solo daños,Choque,0,0,1,10.9723456,-74.7968288
2015-01-22 11:30:00,Solo daños,Choque,0,0,1,10.9835482,-74.7758895
2015-01-23 16:20:00,Solo daños,Choque,0,0,1,10.9943339,-74.80976070000001
2015-01-23 16:30:00,Solo daños,Choque,0,0,1,10.9771823,-74.8005508
2015-01-23 17:45:00,Solo daños,Choque,0,0,1,10.9998733,-74.8138565
2015-01-23 18:10:00,Solo daños,Choque,0,0,1,10.9945533,-74.8387792
2015-01-23 18:50:00,Solo daños,Choque,0,0,1,10.9764512,-74.836458
2015-01-23 20:00:00,Solo daños,Choque,0,0,1,11.0156641,-74.82288690000001
2015-01-23 20:40:00,Solo daños,Choque,0,0,1,11.004304,-74.8081282
2015-01-23 09:00:00,Solo daños,Choque,0,0,1,10.99988,-74.8170791
